DoctorID,FullName,Specialty,Email,PhoneNumber,YearsExperience,Department
DOC-1000,Melissa Mann,Cardiology,bjohnson@hotmail.com,254.733.9775x04448,22,Outpatient
DOC-1001,Kimberly Nelson,General Medicine,lindapalmer@yahoo.com,434-825-5559x96031,8,ICU
DOC-1002,Bryan Barrera,General Medicine,jenniferanderson@yahoo.com,550.999.4047,38,Outpatient
DOC-1003,Patricia Mitchell,Psychiatry,miguel09@gmail.com,924.578.5903,21,Emergency
DOC-1004,Kelly Meza,Cardiology,millerxavier@hotmail.com,519.984.2694x092,6,ICU
DOC-1005,Haley Page,Psychiatry,wallen@gmail.com,(581)409-9821x7515,31,ICU
DOC-1006,Claire Cordova,Pediatrics,lisa31@morgan.com,+1-114-952-8688x044,18,Diagnostics
DOC-1007,Glenda Briggs,Pediatrics,xhernandez@hotmail.com,(822)492-1051,1,Surgery
DOC-1008,Kerry Huber,Cardiology,jjones@hotmail.com,093-966-4735x3295,40,ICU
DOC-1009,David Diaz,General Medicine,kristen35@serrano.com,6572221868,37,Emergency
DOC-1010,Catherine Evans,Dermatology,zrogers@gmail.com,+1-116-759-7755x884,4,Surgery
DOC-1011,Wanda Barnes,General Medicine,johnsonashley@berry.com,425.222.1373,4,Outpatient
DOC-1012,Alyssa Rivas,Neurology,andrea44@robles.net,211.451.0159x380,39,ICU
DOC-1013,Elizabeth Sanchez,Cardiology,bmadden@browning.info,884-213-7252x789,26,Surgery
DOC-1014,Jeremy Lam,Dermatology,ramirezdavid@hotmail.com,001-692-576-6967,16,ICU
DOC-1015,David Gallagher,Cardiology,rachelgray@reid-carrillo.com,(002)025-4278x8023,2,Emergency
DOC-1016,Joseph Castillo PhD,Dermatology,caserobert@thomas-wood.com,430.988.1428,25,ICU
DOC-1017,Shawn Mejia,General Medicine,qrusso@brady-howard.com,+1-324-885-0031x1302,10,Outpatient
DOC-1018,Benjamin Nelson,General Medicine,julia15@yahoo.com,441-045-4348x356,32,ICU
DOC-1019,Alison Gates,Pediatrics,andrewsexton@hotmail.com,+1-190-646-7538x09560,20,Diagnostics
DOC-1020,John Lewis,Dermatology,jessica33@sanders.com,250.002.7472x2487,23,Outpatient
DOC-1021,Steven Zuniga,Psychiatry,nowens@yahoo.com,932.655.6446,24,Diagnostics
DOC-1022,Logan Koch,Dermatology,warnertyler@gmail.com,851-164-4810x728,32,ICU
DOC-1023,Elizabeth Jackson,Orthopedics,mathewsjennifer@yahoo.com,(464)240-2527,31,Surgery
DOC-1024,Theresa Weber,Neurology,aalvarez@yahoo.com,769-061-2790x440,39,ICU
DOC-1025,Terri Flores,Cardiology,aaronreid@hotmail.com,223.387.2768x935,28,Surgery
DOC-1026,Ryan Diaz,Neurology,fellison@yahoo.com,(876)406-8899x206,12,ICU
DOC-1027,Annette Jones,Pediatrics,jennifer39@chapman.com,982-162-4825x4254,28,Outpatient
DOC-1028,Nicholas Ortiz,Cardiology,robert70@yahoo.com,931.492.4193,33,Surgery
DOC-1029,Samantha Johnson,Orthopedics,kellyaguirre@dunlap.com,373-143-9534,15,Emergency
DOC-1030,Robert Schneider,Orthopedics,kelseyflores@hotmail.com,131.533.0607x0477,34,Diagnostics
DOC-1031,Reginald Perez,Cardiology,reedmichelle@gmail.com,(256)713-4967x552,19,ICU
DOC-1032,Robert Alexander,Orthopedics,ashley68@weaver-steele.com,570-919-4392x6191,6,ICU
DOC-1033,Kelly Morris MD,General Medicine,lisacruz@hotmail.com,+1-386-750-7189,10,Emergency
DOC-1034,Pam Lawrence,Pediatrics,corey60@yahoo.com,(086)822-5701x5346,20,Emergency
DOC-1035,Michael Richard,Neurology,ygarcia@young.com,(801)797-9821x8798,28,Surgery
DOC-1036,Brittany Rose,Neurology,garciajennifer@gmail.com,863.564.3614x86083,4,Diagnostics
DOC-1037,Monique Perry,Cardiology,erikawilliams@hotmail.com,(823)716-1898,3,Diagnostics
DOC-1038,Teresa Wong,Cardiology,tlopez@gmail.com,530-165-6731x772,33,ICU
DOC-1039,Jared Logan,Orthopedics,robert36@gmail.com,001-438-994-4243x91774,7,ICU
DOC-1040,William Castillo,Pediatrics,reyeschristopher@gmail.com,960.229.0119x7033,37,Surgery
DOC-1041,Matthew Carrillo,General Medicine,trandaniel@yahoo.com,(678)345-4604,17,Diagnostics
DOC-1042,Michelle Lucas,Cardiology,gabriel22@gmail.com,001-608-949-4568x2357,33,Outpatient
DOC-1043,Hailey Leonard,Cardiology,christinawilliams@gmail.com,578-010-2842,30,Emergency
DOC-1044,Latoya Diaz,Psychiatry,sanchezgary@hotmail.com,742.854.9870,12,ICU
DOC-1045,Andre Jordan,Cardiology,diazana@lynch.org,(930)008-3851x90910,6,ICU
DOC-1046,Emily Stephens,Pediatrics,susansutton@turner.com,003.831.4767,20,Surgery
DOC-1047,Brenda Williams,Neurology,bpierce@king.com,957-294-0555x470,30,ICU
DOC-1048,Steven Bruce,Neurology,amy17@gmail.com,(830)754-9222x3066,17,Surgery
DOC-1049,Evan Lewis,Psychiatry,jorgelopez@jones-cruz.com,(250)928-7027,12,Emergency
DOC-1050,Ashley Garcia,Dermatology,epowell@pope.com,+1-263-093-1667x5767,6,Diagnostics
DOC-1051,Carolyn Snyder,General Medicine,ashley83@hotmail.com,7109330429,7,ICU
DOC-1052,Matthew Rasmussen,Neurology,sarah66@yahoo.com,(449)884-4715x55227,2,Outpatient
DOC-1053,Tina Wright,Orthopedics,vickimarshall@yahoo.com,439.744.5907,8,Outpatient
DOC-1054,Peter Williams,Dermatology,richardjenkins@gmail.com,+1-604-822-9383x60104,31,ICU
DOC-1055,Jonathan Henderson,Pediatrics,davisjohn@stevens.com,001-941-536-4122x7776,26,Diagnostics
DOC-1056,Chase Martinez,Pediatrics,wmoore@hotmail.com,561-618-3647x81226,32,Surgery
DOC-1057,Dawn Turner,Neurology,pittsnicholas@gmail.com,+1-081-675-7169,40,Surgery
DOC-1058,Danielle Davis MD,Pediatrics,mezaregina@yahoo.com,(568)839-6616x326,26,Surgery
DOC-1059,Alan Smith,Cardiology,rosemaureen@jones-price.com,481.824.8386x9058,9,Emergency
DOC-1060,Jennifer Holder,Cardiology,davenportdaniel@hotmail.com,732-580-8696x868,13,Outpatient
DOC-1061,Christina Williams,Psychiatry,kevin88@yahoo.com,(456)804-2397x381,2,Emergency
DOC-1062,Kevin Gutierrez,Psychiatry,brianperry@hotmail.com,(011)080-1790,2,Emergency
DOC-1063,Justin Martin,Orthopedics,zmaddox@landry.com,(455)716-0292x074,10,Emergency
DOC-1064,David Brown,Orthopedics,william82@yahoo.com,947-306-8329x6801,35,Emergency
DOC-1065,Jamie Daniels,Cardiology,thomaskimberly@murphy.com,621.626.3282x2330,20,ICU
DOC-1066,Karen Osborn,Dermatology,tvillanueva@white.com,001-342-021-9119x0342,31,ICU
DOC-1067,Gina Vega,Cardiology,michaelwilson@stanley-kramer.info,(154)092-6567x95128,8,Emergency
DOC-1068,Julie Moore,Dermatology,nharris@johnson.com,(504)593-3924,29,ICU
DOC-1069,Katherine Rivera,Orthopedics,ryanmorris@steele.com,1236725466,2,ICU
DOC-1070,Kristen Shields,Neurology,cynthia37@ramirez.com,+1-115-871-2330,16,Emergency
DOC-1071,Sarah York,General Medicine,theresa65@yahoo.com,+1-364-927-7189x5968,37,ICU
DOC-1072,Jeremy Phillips,Cardiology,lisa33@hotmail.com,126.686.6191x214,22,Outpatient
DOC-1073,Courtney Becker,Cardiology,asullivan@hotmail.com,001-763-537-1036x74381,28,ICU
DOC-1074,Michelle Johnson,Psychiatry,zjohnson@yahoo.com,347.729.0440x886,32,Diagnostics
DOC-1075,Angela Wagner,Neurology,wmathis@russell.com,919.884.1946,36,Surgery
DOC-1076,Linda Anderson,Cardiology,scottjodi@hotmail.com,+1-599-681-8922,32,ICU
DOC-1077,Christine Williamson,Orthopedics,christopherjones@hotmail.com,+1-442-329-7133,33,Diagnostics
DOC-1078,Nathan Herring,Pediatrics,james73@gmail.com,190-453-4782,40,ICU
DOC-1079,Jenna Pittman,Dermatology,austinjessica@davis.net,+1-985-376-0986x74097,4,Diagnostics
DOC-1080,Peter Rhodes,Cardiology,brandon46@vaughn.com,763-651-4329x4479,28,Diagnostics
DOC-1081,Courtney Black,General Medicine,kevin46@yahoo.com,8435344699,36,Outpatient
DOC-1082,Rebecca Palmer,General Medicine,kristopher54@johnson-sandoval.com,265.588.4962x200,27,ICU
DOC-1083,Amanda Moore,Cardiology,stephen21@wilson-williams.com,879.935.3810x715,32,Diagnostics
DOC-1084,Brittany Perkins,Pediatrics,baileypatricia@galloway-duffy.org,899-753-0369,23,ICU
DOC-1085,Duane Howell,Pediatrics,jill28@yahoo.com,387-291-2302x4793,28,Outpatient
DOC-1086,Jacob Robertson,Dermatology,johnsonbrooke@gmail.com,864.135.6796x4462,19,Emergency
DOC-1087,Joshua Jones,Orthopedics,barberjonathan@gmail.com,043-821-2465x221,23,ICU
DOC-1088,Christopher Smith,Dermatology,marquezjocelyn@arroyo.org,(685)509-1784x24875,33,Emergency
DOC-1089,Allison Sanchez,Neurology,dana08@hughes-cannon.com,668-460-6558x94202,22,Diagnostics
DOC-1090,Ernest Hill,Psychiatry,medwards@cowan.com,001-942-900-9879x03301,30,Emergency
DOC-1091,Dr. Ethan Allison,General Medicine,stephaniesanders@yahoo.com,+1-493-640-8934x357,25,ICU
DOC-1092,Stephanie Thomas,Psychiatry,thomassmith@norman.com,752-491-1421x09523,24,ICU
DOC-1093,Kenneth Lang,Psychiatry,fbennett@jones-garrett.com,+1-731-023-4508,11,Diagnostics
DOC-1094,Heather Lawrence,Dermatology,rebecca62@hotmail.com,522-068-8158x463,19,Outpatient
DOC-1095,Gary Clark,Pediatrics,jenniferrobles@yahoo.com,175-150-5107,31,Emergency
DOC-1096,Mary Ellis,Dermatology,johnfoley@ward.com,222.095.2090,13,Emergency
DOC-1097,Jeffrey Nguyen,Neurology,simpsonerin@hotmail.com,001-404-540-9285x5428,32,Outpatient
DOC-1098,Christopher Mcclain,Psychiatry,gatesgary@gmail.com,001-094-044-2895,27,ICU
DOC-1099,Keith Perry,General Medicine,mortiz@castro-schwartz.net,824.492.6031,16,Emergency
DOC-1100,Janet Walters,Neurology,jennifer27@lee-olsen.com,(746)265-0900,4,Outpatient
DOC-1101,Melanie Wiley,General Medicine,taraschaefer@yahoo.com,001-421-382-8321x732,17,Surgery
DOC-1102,Mark Ramos,Pediatrics,reedlorraine@yahoo.com,(876)887-4469,11,Emergency
DOC-1103,Zachary Velasquez,Psychiatry,steven44@gmail.com,+1-753-840-7311,33,Outpatient
DOC-1104,Matthew Owen,Psychiatry,michael05@harper-johnson.biz,698.288.6489x780,5,Surgery
DOC-1105,Beth Williams,Orthopedics,zharrison@craig.com,+1-905-020-2311x549,8,Diagnostics
DOC-1106,Danielle Richardson,Dermatology,vincent43@knight.biz,(524)677-6298x37476,8,Diagnostics
DOC-1107,Deborah White,Dermatology,reneemartinez@gmail.com,+1-777-273-2775x4613,32,Surgery
DOC-1108,Mary Cox,General Medicine,carol54@yahoo.com,512-402-9549,23,Outpatient
DOC-1109,Karen Brown,Psychiatry,pruittbrittany@castro.com,001-678-613-5296x44835,36,Surgery
DOC-1110,Raymond Collins,Dermatology,melvin57@young.net,9151271084,33,Diagnostics
DOC-1111,Mark Mitchell,Pediatrics,spearson@perez.com,+1-686-340-5333x315,7,Outpatient
DOC-1112,Darlene Pruitt,Orthopedics,mrussell@hotmail.com,0583071583,30,Outpatient
DOC-1113,Sandra Marsh,Cardiology,davisreginald@gmail.com,+1-808-912-6648,40,Diagnostics
DOC-1114,Nicole Maldonado,Psychiatry,jasonmiller@byrd.com,001-508-645-6632x90899,7,Diagnostics
DOC-1115,Sara Wilkinson,Cardiology,christophercrawford@floyd.com,7767747912,33,Outpatient
DOC-1116,Michael Parker,Dermatology,ajones@hotmail.com,001-218-921-7865,8,Emergency
DOC-1117,Jared Wang,General Medicine,amanda03@yahoo.com,588-204-3607x32156,11,Surgery
DOC-1118,Michael Gomez,Pediatrics,chenrandall@smith.com,001-024-736-1189,29,Diagnostics
DOC-1119,Benjamin Dalton,Orthopedics,moorerichard@gmail.com,942.439.6173x612,7,Emergency
DOC-1120,Michael Alexander,Pediatrics,caitlin33@lam.biz,(595)282-8136,24,Surgery
DOC-1121,William Smith,Psychiatry,crystalharris@galloway.com,+1-072-167-1201x8492,9,Outpatient
DOC-1122,Lisa Flynn,Psychiatry,amber03@hotmail.com,+1-173-517-1060x447,13,ICU
DOC-1123,David Matthews,Orthopedics,carpenteramy@hotmail.com,(829)117-4931x08674,1,Emergency
DOC-1124,Ashley Leonard,Psychiatry,ijones@edwards.com,072.052.0672x611,31,Surgery
DOC-1125,Jordan Jenkins,General Medicine,christopher18@gmail.com,2648775028,33,Emergency
DOC-1126,Kevin Owens,Cardiology,michael60@johnston-diaz.info,764-407-6127x397,18,Surgery
DOC-1127,Sarah Reyes,Pediatrics,shelley98@smith.com,001-489-920-1024,27,Surgery
DOC-1128,David Rose,Pediatrics,dunnjason@duncan.info,+1-401-144-1511,16,Emergency
DOC-1129,Jennifer Aguilar,Psychiatry,bmaxwell@yahoo.com,597.176.6152x67699,34,ICU
DOC-1130,Joshua Bush,Psychiatry,farrelljoseph@hotmail.com,001-020-830-6405,15,Emergency
DOC-1131,Anna Lee,Psychiatry,bonniemason@yahoo.com,707.880.4602x053,28,ICU
DOC-1132,Charles Baker,Orthopedics,caldwellhelen@yahoo.com,350.484.6363,30,Diagnostics
DOC-1133,Melissa Morales,Psychiatry,karencox@villanueva.net,0410168154,24,Outpatient
DOC-1134,David Harris MD,Orthopedics,ocampbell@hotmail.com,+1-952-293-1118x452,10,Outpatient
DOC-1135,Justin Gibbs,Pediatrics,lauracannon@bishop-hughes.com,(175)548-7838x5429,34,Outpatient
DOC-1136,Scott Walker MD,Cardiology,lewiskelsey@carlson.com,451-848-7056,22,Surgery
DOC-1137,Lee Riley,Orthopedics,fsingh@hotmail.com,982-491-0729,11,ICU
DOC-1138,Heidi Garcia,Cardiology,martinkathryn@yahoo.com,(800)619-1323x67194,26,Outpatient
DOC-1139,Jasmine Ramirez,Pediatrics,kennethprice@jackson.com,936.366.1414,10,Diagnostics
DOC-1140,Joel Walter,Cardiology,patricia33@yahoo.com,085-060-3854x0155,34,Surgery
DOC-1141,Franklin Hartman,Orthopedics,brandonhicks@johnson-york.com,7853214380,26,Diagnostics
DOC-1142,Matthew Mercado,Psychiatry,andrew41@frazier.com,607-106-6518x0821,20,Surgery
DOC-1143,Kenneth Santiago,General Medicine,novakashley@shepard.com,+1-938-447-1333x766,1,Surgery
DOC-1144,James Watson,Neurology,stephen21@hotmail.com,001-087-618-2956x80964,40,Emergency
DOC-1145,Jeremy Reyes,Pediatrics,catherineblackwell@yahoo.com,642-295-0072,26,ICU
DOC-1146,Charles Wilson,Pediatrics,christopher36@glass-burns.com,513.360.7922,14,Diagnostics
DOC-1147,Noah Reynolds,Neurology,briannabowen@yahoo.com,054.982.0981x08585,40,ICU
DOC-1148,Benjamin Henry,Pediatrics,manuel03@richardson-haney.org,369-913-3035,23,ICU
DOC-1149,Heather Bell,Psychiatry,jose30@hotmail.com,651.130.5836x923,13,Surgery
DOC-1150,Brett Nguyen,Cardiology,glopez@sheppard-wise.biz,001-898-120-5468x409,3,Diagnostics
DOC-1151,Brian Johnson,General Medicine,qsmith@vaughn-sullivan.com,250-535-0533x25600,25,Emergency
DOC-1152,Cody Jacobs,Neurology,rickgonzalez@gutierrez.net,001-577-359-7695x54166,35,Surgery
DOC-1153,Amy Robinson,Dermatology,travis18@yahoo.com,+1-460-466-9571x969,6,Diagnostics
DOC-1154,Paul Mullen,Neurology,carrie81@gmail.com,016-555-6284x9342,20,Diagnostics
DOC-1155,Eric Phillips,General Medicine,ericfleming@yahoo.com,874-045-3409,11,Outpatient
DOC-1156,Sharon Bright,Cardiology,griffithfaith@anderson-newman.com,+1-464-485-1680x5424,35,Diagnostics
DOC-1157,Kevin Hernandez,General Medicine,tglover@atkins.info,342.848.1601,16,Surgery
DOC-1158,Donald Brown,Pediatrics,ricky05@gmail.com,+1-098-286-9571,28,Diagnostics
DOC-1159,Melissa Neal,Cardiology,keithstacy@hotmail.com,767.368.5965x5517,4,Surgery
DOC-1160,Darryl Wood,General Medicine,jonathanmartin@gmail.com,(217)135-5515,33,Surgery
DOC-1161,Trevor Mathis,Cardiology,lindaniel@bennett.net,+1-852-854-1964x80173,4,Outpatient
DOC-1162,Courtney Cruz,Orthopedics,brianmills@vargas.biz,(368)485-0357x61521,20,Diagnostics
DOC-1163,Wendy Mitchell,Pediatrics,natalie27@morgan.com,(005)652-9103,1,ICU
DOC-1164,Stephen Mack,General Medicine,pamelahansen@gmail.com,546-138-5311x8917,16,Diagnostics
DOC-1165,Aaron Li,Neurology,phelpsrussell@hotmail.com,4272412508,35,Diagnostics
DOC-1166,Jeremy Cook,Dermatology,iguerrero@larsen.net,297.458.8160x92617,23,Surgery
DOC-1167,Mr. Donald Wolfe,General Medicine,patrick22@yahoo.com,(031)890-1712,37,Emergency
DOC-1168,Alex Heath,Pediatrics,ktrujillo@walker.biz,(627)386-7501,25,Diagnostics
DOC-1169,John Myers,Pediatrics,olsontaylor@yahoo.com,001-189-540-3795x052,16,Outpatient
DOC-1170,Emily Cole,General Medicine,alan36@yahoo.com,(586)892-9670x39226,34,Diagnostics
DOC-1171,Victor Wallace,Dermatology,andrewmann@knight-blackburn.com,091-282-2254,24,ICU
DOC-1172,Carolyn Hunt,Cardiology,grahamlee@gmail.com,1404184877,10,ICU
DOC-1173,Lori Dixon,Psychiatry,greenjohn@wilson-howell.com,055-388-8396x2585,27,Outpatient
DOC-1174,Jennifer Baker,Cardiology,kennethsmith@yahoo.com,573.636.6785x4295,4,ICU
DOC-1175,Scott Gutierrez,Dermatology,joshua67@rodriguez.com,078-667-4696,31,Emergency
DOC-1176,Randy Rivas,Orthopedics,kelly00@yahoo.com,476-633-3704x004,5,Surgery
DOC-1177,David Freeman,Pediatrics,gstevenson@little.com,(910)914-3389x7518,34,ICU
DOC-1178,Kylie Watson,Neurology,rachel00@murphy.com,707.490.5659x31528,36,Diagnostics
DOC-1179,Lance Perez,Psychiatry,gjefferson@yahoo.com,+1-704-308-2900x64527,26,Surgery
DOC-1180,Kevin Bell,Neurology,smithtimothy@yahoo.com,(718)121-5697,32,ICU
DOC-1181,Andrew James,Orthopedics,collinsrenee@gmail.com,(384)091-7594x926,32,ICU
DOC-1182,Terry Gilbert,Psychiatry,gbrown@hampton.com,+1-205-596-5055x1678,11,Emergency
DOC-1183,Kelly Bates,Neurology,amydaniels@fox-harrison.org,001-832-428-3294x14846,9,ICU
DOC-1184,Kimberly Hanson,Pediatrics,ymoon@wright.info,+1-767-503-9104x1708,30,Emergency
DOC-1185,Logan Wolfe,Pediatrics,fford@tran.info,433-874-2339,33,Diagnostics
DOC-1186,Billy Jordan,Cardiology,loweryerin@gmail.com,406.874.3452,14,ICU
DOC-1187,Hunter Hammond,Orthopedics,vmiddleton@king.com,(522)929-3852,3,Emergency
DOC-1188,Paul Sullivan,Neurology,briannachan@hawkins.com,(991)336-8925,24,Outpatient
DOC-1189,Mrs. Maria Edwards,Neurology,yrobinson@turner.com,962-000-8991x28500,27,Outpatient
DOC-1190,Geoffrey Taylor,Cardiology,heidipitts@cooper.com,165.881.3857,24,Diagnostics
DOC-1191,Sarah Miller,General Medicine,bcastillo@morris.biz,035.211.9381,3,Diagnostics
DOC-1192,Rachel Anthony,Dermatology,jwright@hotmail.com,001-817-251-9026,8,Surgery
DOC-1193,Haley Guerrero,General Medicine,nicoleadams@lee.info,+1-099-461-6919x3606,24,Surgery
DOC-1194,Clinton Miller,General Medicine,justin13@perry.com,+1-668-115-1789x473,32,Outpatient
DOC-1195,David Jimenez,Psychiatry,carteremily@gmail.com,001-060-750-9249,10,Emergency
DOC-1196,Ronald Blackwell,Psychiatry,donna70@pierce.info,6714029349,38,ICU
DOC-1197,Kathy Arnold,Cardiology,littlebetty@andrews-adams.com,001-514-674-8138x5255,20,Surgery
DOC-1198,Mr. David Rivas,Dermatology,jessica01@scott.org,001-220-238-4610x5675,12,ICU
DOC-1199,Matthew Perez,Cardiology,johnbooth@smith.com,628.049.2563x669,8,Diagnostics
