StaffID,FullName,Role,Shift,AssignedDepartment
STAFF-0001,Jorge Soto,Technician,Night,ICU
STAFF-0002,Dr. Joel Taylor,Nurse,Night,Surgery
STAFF-0003,Sarah Gonzales,Nurse,Morning,Emergency
STAFF-0004,Gregory Wright,Doctor,Evening,Diagnostics
STAFF-0005,Martin Esparza,Nurse,Morning,Surgery
STAFF-0006,Emma Parker,Nurse,Night,Surgery
STAFF-0007,Stephen Martinez,Doctor,Morning,Ward
STAFF-0008,Ronald Cruz,Admin,Morning,Diagnostics
STAFF-0009,Steven Moore,Nurse,Night,Emergency
STAFF-0010,Melanie Graham,Nurse,Night,Ward
STAFF-0011,Michael Rodriguez,Doctor,Evening,ICU
STAFF-0012,Michele Johnson,Admin,Morning,Ward
STAFF-0013,Jenna Brown,Nurse,Evening,Ward
STAFF-0014,Michael Pitts,Technician,Night,ICU
STAFF-0015,Brandon Taylor,Nurse,Morning,ICU
STAFF-0016,Megan Ochoa,Admin,Evening,Emergency
STAFF-0017,Janet Graham,Doctor,Morning,Ward
STAFF-0018,Donna Smith,Admin,Evening,ICU
STAFF-0019,Mark Ramirez,Doctor,Night,Surgery
STAFF-0020,Marissa Holt,Technician,Evening,Ward
STAFF-0021,Keith Walker,Doctor,Morning,Ward
STAFF-0022,Christopher Burch,Technician,Night,Ward
STAFF-0023,Susan Owens,Admin,Evening,Emergency
STAFF-0024,Holly Preston,Admin,Night,Ward
STAFF-0025,Walter Johnson,Doctor,Morning,Surgery
STAFF-0026,Danny Wilson,Nurse,Evening,ICU
STAFF-0027,Robert Mathews,Admin,Morning,Ward
STAFF-0028,Susan Castro,Doctor,Night,Surgery
STAFF-0029,Gary Watson,Technician,Morning,ICU
STAFF-0030,Ethan Johnson,Admin,Night,ICU
STAFF-0031,Nicholas Wade,Doctor,Evening,Surgery
STAFF-0032,Mrs. Tracey Moore,Admin,Night,Ward
STAFF-0033,Amanda Ross,Technician,Morning,ICU
STAFF-0034,Robert Roberts Jr.,Technician,Morning,Ward
STAFF-0035,Timothy Willis,Technician,Morning,ICU
STAFF-0036,Tracy Payne,Admin,Morning,Emergency
STAFF-0037,Christopher Peck,Admin,Morning,Surgery
STAFF-0038,Linda Sawyer,Doctor,Morning,Surgery
STAFF-0039,Jeffrey Johnson,Technician,Night,ICU
STAFF-0040,Frances Reed,Doctor,Evening,Surgery
STAFF-0041,John Juarez,Technician,Morning,Surgery
STAFF-0042,Nicole Neal,Admin,Morning,Emergency
STAFF-0043,Sean Gonzalez,Nurse,Night,Surgery
STAFF-0044,Danielle Cook,Technician,Night,Surgery
STAFF-0045,William Gibson,Admin,Night,Diagnostics
STAFF-0046,Preston King,Technician,Night,Surgery
STAFF-0047,Kendra Smith,Nurse,Evening,Surgery
STAFF-0048,Wyatt Henderson,Technician,Morning,Ward
STAFF-0049,Craig Adams,Admin,Morning,Diagnostics
STAFF-0050,Jennifer Vega,Technician,Morning,Surgery
STAFF-0051,Charles Graves,Doctor,Morning,Emergency
STAFF-0052,Patricia Wright,Doctor,Night,Surgery
STAFF-0053,Bethany Leonard,Technician,Night,ICU
STAFF-0054,Shawn Cole,Doctor,Morning,ICU
STAFF-0055,Katrina Baird,Doctor,Evening,ICU
STAFF-0056,Derrick Vazquez,Admin,Night,ICU
STAFF-0057,Nathan Jones,Doctor,Night,Ward
STAFF-0058,Denise Schroeder,Admin,Morning,Emergency
STAFF-0059,Sheryl Barrett,Admin,Evening,Diagnostics
STAFF-0060,Randy Fry,Admin,Night,ICU
STAFF-0061,Pamela Lin,Nurse,Evening,Ward
STAFF-0062,Morgan Wilson,Nurse,Morning,Emergency
STAFF-0063,James Rodriguez,Nurse,Morning,Ward
STAFF-0064,Lindsay Smith,Doctor,Evening,ICU
STAFF-0065,Samuel Morris,Doctor,Morning,Surgery
STAFF-0066,Leslie Salas,Nurse,Morning,Diagnostics
STAFF-0067,Matthew Hays,Admin,Night,Surgery
STAFF-0068,Bryan Smith,Nurse,Evening,Diagnostics
STAFF-0069,Micheal Johnson,Doctor,Morning,Emergency
STAFF-0070,Kristen Figueroa DDS,Technician,Night,ICU
STAFF-0071,Gina Pollard,Nurse,Evening,Emergency
STAFF-0072,Gloria May,Nurse,Morning,Emergency
STAFF-0073,Mary Patrick,Technician,Evening,Surgery
STAFF-0074,Amanda Lopez,Doctor,Evening,Ward
STAFF-0075,David Jones,Nurse,Evening,Emergency
STAFF-0076,Jason Turner,Nurse,Morning,Emergency
STAFF-0077,Chad Fields,Technician,Morning,ICU
STAFF-0078,Tyler Roberts,Admin,Evening,Ward
STAFF-0079,Jerome Henderson,Admin,Night,Surgery
STAFF-0080,Jonathan Hernandez,Nurse,Night,Diagnostics
STAFF-0081,Monica Knight,Technician,Night,ICU
STAFF-0082,Jennifer Moore,Nurse,Night,ICU
STAFF-0083,Robert Howell,Nurse,Evening,Surgery
STAFF-0084,Rachel Baker,Doctor,Morning,Emergency
STAFF-0085,Misty George,Nurse,Evening,Emergency
STAFF-0086,Jasmine Atkins,Admin,Night,Ward
STAFF-0087,David Miller,Doctor,Evening,ICU
STAFF-0088,Natasha Wood,Doctor,Evening,Surgery
STAFF-0089,Heather Baldwin,Technician,Night,Surgery
STAFF-0090,Olivia Myers,Doctor,Night,ICU
STAFF-0091,Scott Hunt Jr.,Admin,Night,ICU
STAFF-0092,William Hanson,Admin,Evening,ICU
STAFF-0093,Elizabeth Ho,Admin,Night,Emergency
STAFF-0094,Nicole Roberts,Nurse,Evening,Emergency
STAFF-0095,Devin Williams,Technician,Evening,Ward
STAFF-0096,Shawn Mccarthy,Nurse,Morning,ICU
STAFF-0097,Erica Bauer,Doctor,Night,ICU
STAFF-0098,Cameron Perez,Doctor,Morning,Surgery
STAFF-0099,Charles Nelson,Technician,Morning,Surgery
STAFF-0100,Vickie Lowery,Nurse,Evening,Ward
STAFF-0101,Brandon Lopez,Nurse,Evening,Ward
STAFF-0102,Daniel Delacruz,Admin,Night,Ward
STAFF-0103,Ryan Maxwell,Doctor,Night,ICU
STAFF-0104,Frank Sanders MD,Admin,Morning,Surgery
STAFF-0105,Frank Gordon,Technician,Morning,Surgery
STAFF-0106,Emily Brandt,Doctor,Morning,ICU
STAFF-0107,Jackie Schultz,Technician,Evening,Emergency
STAFF-0108,Sara Leonard,Nurse,Evening,Surgery
STAFF-0109,Joseph Cunningham,Nurse,Morning,Ward
STAFF-0110,Beth Jackson,Technician,Morning,Emergency
STAFF-0111,James James,Technician,Morning,Ward
STAFF-0112,Jacob Sexton,Technician,Evening,Surgery
STAFF-0113,Charles Ellis,Technician,Night,ICU
STAFF-0114,Brenda Perry,Admin,Evening,Surgery
STAFF-0115,Robert Harrison,Admin,Morning,Emergency
STAFF-0116,David Patel,Admin,Evening,Diagnostics
STAFF-0117,Lisa Goodwin,Nurse,Evening,Emergency
STAFF-0118,Gerald Branch,Admin,Evening,Surgery
STAFF-0119,Samantha Maxwell,Admin,Evening,ICU
STAFF-0120,Taylor Logan,Nurse,Night,Surgery
STAFF-0121,Sarah Shannon,Technician,Evening,Diagnostics
STAFF-0122,Scott Crawford,Doctor,Night,ICU
STAFF-0123,Alyssa Anderson,Nurse,Evening,Diagnostics
STAFF-0124,Sean Smith,Doctor,Evening,Emergency
STAFF-0125,Mary Duncan,Admin,Evening,Diagnostics
STAFF-0126,Daniel Diaz,Doctor,Evening,Emergency
STAFF-0127,Brandon Beard,Technician,Morning,Ward
STAFF-0128,Melissa Howell,Admin,Night,Emergency
STAFF-0129,Daniel Dodson,Technician,Morning,Ward
STAFF-0130,Becky Rice,Nurse,Night,Surgery
STAFF-0131,Nicole Burch,Doctor,Morning,Ward
STAFF-0132,Mandy Beasley,Doctor,Morning,Emergency
STAFF-0133,John Garner,Doctor,Evening,Surgery
STAFF-0134,Matthew Taylor,Admin,Night,Surgery
STAFF-0135,Timothy Miller,Technician,Evening,Diagnostics
STAFF-0136,Elizabeth Arnold,Technician,Night,Ward
STAFF-0137,Danielle Mcdonald,Admin,Morning,Ward
STAFF-0138,Jennifer Sparks,Nurse,Morning,Emergency
STAFF-0139,Jillian Dawson,Nurse,Morning,Emergency
STAFF-0140,Nicole Newman,Technician,Night,ICU
STAFF-0141,Timothy Randolph,Admin,Morning,Ward
STAFF-0142,Frederick Vargas,Nurse,Morning,Surgery
STAFF-0143,Beverly Baker,Admin,Evening,Surgery
STAFF-0144,Phillip Woods,Doctor,Morning,Ward
STAFF-0145,Joy King,Doctor,Night,ICU
STAFF-0146,Gerald Martin,Technician,Evening,Ward
STAFF-0147,Robert Fox,Technician,Evening,Diagnostics
STAFF-0148,Brandon Walls,Admin,Evening,Diagnostics
STAFF-0149,Eric Carney,Admin,Morning,Diagnostics
STAFF-0150,James Schmidt,Nurse,Morning,Ward
STAFF-0151,Jennifer Cannon,Doctor,Night,Emergency
STAFF-0152,Ronnie Marks Jr.,Doctor,Night,Surgery
STAFF-0153,Norma Flynn,Technician,Morning,Surgery
STAFF-0154,Gary Watts,Technician,Night,ICU
STAFF-0155,Leah Castro,Admin,Night,Ward
STAFF-0156,Jonathan Wheeler,Admin,Night,Emergency
STAFF-0157,John Gilmore,Doctor,Evening,Emergency
STAFF-0158,Tiffany Calderon,Doctor,Evening,Diagnostics
STAFF-0159,Cassandra Peterson,Nurse,Night,ICU
STAFF-0160,Mark Hernandez,Doctor,Night,Emergency
STAFF-0161,Emily Russell,Technician,Evening,Emergency
STAFF-0162,Michelle Padilla,Nurse,Morning,Surgery
STAFF-0163,Travis Jenkins,Technician,Evening,Emergency
STAFF-0164,Miss Kelly Mcguire,Technician,Night,Surgery
STAFF-0165,Pamela Black,Technician,Night,Diagnostics
STAFF-0166,Mitchell Francis,Doctor,Morning,Ward
STAFF-0167,Danny Andrews,Doctor,Morning,Diagnostics
STAFF-0168,Donna Walsh,Admin,Evening,ICU
STAFF-0169,Laurie Padilla,Admin,Night,ICU
STAFF-0170,Michael Rogers,Nurse,Evening,Surgery
STAFF-0171,David Chen,Admin,Morning,Diagnostics
STAFF-0172,Amber Montgomery,Technician,Night,Diagnostics
STAFF-0173,Johnny Duncan,Admin,Morning,Ward
STAFF-0174,Michael Wagner,Doctor,Night,ICU
STAFF-0175,Jamie Rivas,Admin,Night,Diagnostics
STAFF-0176,Tyler Acevedo,Nurse,Evening,Emergency
STAFF-0177,Meghan Hudson,Nurse,Night,ICU
STAFF-0178,Kristen Welch,Nurse,Morning,ICU
STAFF-0179,Rebecca Smith,Admin,Morning,Ward
STAFF-0180,Maria Johnson,Technician,Evening,Diagnostics
STAFF-0181,Patrick Thompson,Nurse,Evening,ICU
STAFF-0182,Mary Carlson,Doctor,Evening,ICU
STAFF-0183,Francisco Morris,Doctor,Evening,ICU
STAFF-0184,Gerald King,Doctor,Evening,Diagnostics
STAFF-0185,Nicole Williams,Technician,Morning,Ward
STAFF-0186,Jill Chen,Nurse,Night,Ward
STAFF-0187,Wendy Smith,Admin,Evening,Surgery
STAFF-0188,April Baker,Technician,Night,Ward
STAFF-0189,Kayla Webb,Admin,Evening,Diagnostics
STAFF-0190,Christopher Thompson,Technician,Evening,Emergency
STAFF-0191,Stephanie Carter,Technician,Evening,Emergency
STAFF-0192,Melissa Benjamin,Admin,Morning,ICU
STAFF-0193,Michael Anderson,Doctor,Night,Emergency
STAFF-0194,Jose Castaneda,Nurse,Evening,ICU
STAFF-0195,Haley Bryant,Doctor,Evening,ICU
STAFF-0196,Brittney Rivera,Nurse,Morning,Emergency
STAFF-0197,Daniel Kent,Doctor,Night,ICU
STAFF-0198,Tommy Murphy,Nurse,Morning,ICU
STAFF-0199,Julie Lowe,Admin,Night,ICU
STAFF-0200,Kathleen Lewis,Technician,Night,Surgery
STAFF-0201,Rachel Anderson,Admin,Night,ICU
STAFF-0202,Patricia Patel,Doctor,Night,ICU
STAFF-0203,Mr. Max Smith,Nurse,Evening,Emergency
STAFF-0204,Leslie Greene,Admin,Night,Diagnostics
STAFF-0205,John Woods,Admin,Morning,Emergency
STAFF-0206,Melissa White,Admin,Night,Diagnostics
STAFF-0207,Tina Gutierrez,Technician,Evening,Diagnostics
STAFF-0208,Wendy Carlson,Nurse,Morning,ICU
STAFF-0209,Mr. James Clay,Admin,Night,Emergency
STAFF-0210,Lindsey Jimenez,Doctor,Evening,Diagnostics
STAFF-0211,Karen Leon,Doctor,Night,Diagnostics
STAFF-0212,Nicole Stevens,Admin,Morning,ICU
